Genus	Subfamily	Family	Accession	Phage	Genome
Wuhanvirus	Studiervirinae	Autotranscriptaviridae	MF034659	Pasteurella phage vB_PmuP_PHB02	dsDNA
Yuanmingyuanvirus	Studiervirinae	Autotranscriptaviridae	OR822025	Enterobacter phage NJ2	dsDNA
Kelmasvirus		Autotranscriptaviridae	AB597179	Ralstonia phage RSB2	dsDNA
Piedvirus		Autotranscriptaviridae	KR153873	Delftia phage IME-DE1	dsDNA
Serkorvirus		Autotranscriptaviridae	OP313111	Ralstonia phage 10RS306A	dsDNA
Serkorvirus		Autotranscriptaviridae	KP343639	Ralstonia phage phiITL-1	dsDNA
Stompelvirus		Autotranscriptaviridae	MF893341	Ralstonia phage RPSC1	dsDNA
Alfirinvirus	Dunnvirinae		OR997969	Agrobacterium phage Alfirin	dsDNA
Atuphduovirus	Dunnvirinae		MF403005	Agrobacterium phage Atu_ph02	dsDNA
Cuernavacavirus	Dunnvirinae		JX483874	Rhizobium phage RHEph02	dsDNA
Cuernavacavirus	Dunnvirinae		JX483879	Rhizobium phage RHEph08	dsDNA
Mengvirus	Dunnvirinae		OQ540924	Nostoc phage NMeng1	dsDNA
Palovirus	Dunnvirinae		MT708544	Rhizobium phage Palo	dsDNA
Pasovirus	Dunnvirinae		MT708546	Rhizobium phage Paso	dsDNA
Songlingvirus	Dunnvirinae		MZ462995	Stappia phage SI01	dsDNA
Tepoztlanvirus	Dunnvirinae		MN988466	Rhizobium phage RHph_TM34	dsDNA
Tepoztlanvirus	Dunnvirinae		MN988488	Rhizobium phage RHph_Y1_20	dsDNA
Yautepecvirus	Dunnvirinae		MW960034	Rhizobium phage RHph_X3_9	dsDNA
Angmobvirus	Sechaudvirinae		KC310802	Synechococcus phage S-CBP1	dsDNA
Cheungvirus	Sechaudvirinae		GU071102	Cyanophage NATL1A-7	dsDNA
Dishuivirus	Sechaudvirinae		OQ999402	Synechococcus phage DSL-LC07	dsDNA
Igirivirus	Sechaudvirinae		MH540083	Synechococcus T7-like phage S-TIP37	dsDNA
Nerivirus	Sechaudvirinae		MW015080	Synechococcus phage S-SRP01	dsDNA
Poseidonvirus	Sechaudvirinae		HM559717	Synechococcus phage S-CBP4	dsDNA
Qadamvirus	Sechaudvirinae		MK016662	Synechococcus phage S-B28	dsDNA
