Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Sedonavirus	189.0	189	189	40.0	40	40	1
Serangoonvirus	241.0	241	241	36.0	36	36	1
Shandvirus	163.0	152	174	41.0	41	41	2
Shenzhenivirus	178.0	178	178	43.0	43	43	1
Sokavirus	185.0	185	185	45.0	45	45	1
Tamkungvirus	181.0	181	181	39.0	39	39	1
Tefnutvirus	172.0	172	172	41.0	41	41	1
Thaumasvirus	176.0	176	176	38.0	38	38	1
Thetisvirus	174.0	174	174	41.0	41	41	1
Vellamovirus	194.0	191	197	40.5	40	41	2
Yellowseavirus	180.0	180	180	42.0	42	42	1
Yushanluvirus	187.0	187	187	40.0	40	40	1
Zhoulongquanvirus	229.0	229	229	37.0	37	37	1
Ceceduovirus	230.0	230	232	39.0	39	39	3
Ishigurovirus	235.0	235	235	37.0	37	37	1
Centumtrigintavirus	160.0	160	160	40.0	40	40	1
Dhakavirus	170.5	155	172	40.0	39	40	12
Gaprivervirus	170.5	169	172	40.0	40	40	6
Gelderlandvirus	160.0	158	162	37.0	37	37	6
Jiaodavirus	166.5	163	169	39.5	39	40	6
Kagamiyamavirus	175.0	175	175	38.0	38	38	1
Kanagawavirus	174.5	173	178	40.0	40	41	8
Karamvirus	173.0	166	175	40.0	37	40	18
Moonvirus	171.0	170	173	39.0	39	39	4
Mosigvirus	169.0	167	187	38.0	37	38	16
Mosugukvirus	170.0	170	170	35.0	35	35	1
Risoevirus	176.0	176	176	38.0	38	38	1
Tegunavirus	168.0	162	169	35.0	35	35	3
Tequatrovirus	167.0	164	194	35.0	30	36	83
Winklervirus	171.5	171	172	39.0	39	39	2
Acajnonavirus	170.0	170	170	40.0	40	40	1
Hadassahvirus	167.0	166	168	36.0	36	36	2
Lasallevirus	164.0	164	164	39.0	39	39	1
Lazarusvirus	166.0	165	168	37.0	37	37	8
Zedzedvirus	167.0	167	167	34.0	34	34	1
Angelvirus	222.0	222	222	42.0	42	42	1
